Data_Ground,GPM,Bulan_Tahun
37.7,55.3212,2014-02
115.7,147.3531,2014-03
160.7,155.7394,2014-04
292.59999999999997,186.8284,2014-05
135.5,141.65980000000002,2014-06
6.8,96.5297,2014-07
152.8,116.92490000000002,2014-08
7.2,33.82130000000001,2014-09
47.599999999999994,63.708,2014-10
304.4,314.33709999999996,2014-11
236.00000000000003,289.98990000000003,2014-12
138.0,177.27839999999998,2015-01
132.1,111.59159999999999,2015-02
24.5,41.7427,2015-03
153.0,82.08090000000001,2015-04
316.9,177.3492,2015-05
235.7,206.1693,2015-06
9.3,31.6062,2015-07
5.3,7.9235,2015-08
0.0,1.2563,2015-09
200.6,41.701,2015-10
322.3,202.70270000000002,2015-11
78.9,85.7524,2015-12
111.1,167.2727,2016-01
14.6,40.2801,2016-02
5.699999999999999,24.8083,2016-03
153.3,150.79519999999997,2016-04
312.5,238.71439999999998,2016-05
320.9,251.72130000000004,2016-06
168.10000000000002,151.68949999999998,2016-07
56.8,61.87259999999999,2016-08
283.0,247.483,2016-09
420.20000000000005,279.6175,2016-10
165.3,144.3111,2016-11
169.1,250.3484,2016-12
148.1,225.05190000000002,2017-01
220.01999999999998,213.793,2017-02
180.9,180.54700000000003,2017-03
204.3,139.0359,2017-04
198.10000000000002,239.7746,2017-05
246.6,297.7118,2017-06
176.9,207.85190000000003,2017-07
122.4,166.0574,2017-08
112.9,179.3998,2017-09
220.5,180.92900000000003,2017-10
189.5,184.8295,2017-11
75.9,95.9243,2017-12
242.40000000000003,249.49680000000004,2018-01
131.89999999999998,144.16490000000002,2018-02
259.8,198.77410000000003,2018-03
234.5,326.0666,2018-04
371.40000000000003,168.128,2018-05
176.4,182.85399999999998,2018-06
148.7,94.12499999999999,2018-07
46.5,71.23870000000001,2018-08
9.6,63.6231,2018-09
182.8,112.4748,2018-10
187.70000000000002,132.59179999999998,2018-11
292.0,232.60469999999995,2018-12
123.0,177.83520000000001,2019-01
19.4,77.3458,2019-02
100.19999999999999,55.8907,2019-03
165.5,253.46070000000003,2019-04
144.80000000000004,91.63409999999999,2019-05
141.5,161.4018,2019-06
39.599999999999994,84.1156,2019-07
12.6,30.339900000000004,2019-08
7.5,34.1482,2019-09
103.0,131.00070000000002,2019-10
111.4,39.894400000000005,2019-11
320.09999999999997,120.398,2019-12
131.96999999999997,113.77949999999997,2020-01
100.37,156.1623,2020-02
145.32999999999998,216.3144,2020-03
133.13,170.60419999999996,2020-04
213.68999999999997,161.18570000000003,2020-05
214.07000000000002,283.8119,2020-06
395.2999999999999,347.49960000000004,2020-07
151.23,148.0,2020-08
292.59999999999997,332.1580000000001,2020-09
186.23000000000002,224.50279999999995,2020-10
171.26999999999998,122.7278,2020-11
152.27,204.99589999999998,2020-12
-309969.0,-309969.0,2021-01
-279972.0,-279972.0,2021-02
-309969.0,-309969.0,2021-03
-299970.0,-299970.0,2021-04
-309969.0,-309969.0,2021-05
-299970.0,-299970.0,2021-06
-309969.0,-309969.0,2021-07
-309969.0,-309969.0,2021-08
-299970.0,-299970.0,2021-09
-309969.0,-309969.0,2021-10
-299970.0,-299970.0,2021-11
-309969.0,-309969.0,2021-12
